iter	MultiClass
0	3.673590412
1	3.630807084
2	3.594174894
3	3.567713095
4	3.525845362
5	3.495525291
6	3.455250108
7	3.424234148
8	3.396375382
9	3.371122791
10	3.357286694
11	3.342457485
12	3.32771398
13	3.292274872
14	3.267626577
15	3.244432161
16	3.20905645
17	3.179341612
18	3.166845325
19	3.153872282
20	3.113634417
21	3.09027963
22	3.064144135
23	3.032423231
24	3.005367936
25	2.984427634
26	2.971503257
27	2.944906187
28	2.930321528
29	2.916950174
30	2.891943376
31	2.869400771
32	2.841556759
33	2.828995281
34	2.812220553
35	2.787757523
36	2.760295958
37	2.748278677
38	2.716923693
39	2.702092653
40	2.676554961
41	2.660251737
42	2.638298154
43	2.625998085
44	2.612455885
45	2.601504046
46	2.582551741
47	2.566431626
48	2.543318585
49	2.526610561
50	2.509073504
51	2.497580234
52	2.485818885
53	2.459244833
54	2.441559115
55	2.423869743
56	2.401243495
57	2.381329038
58	2.358733609
59	2.344262198
60	2.335822274
61	2.324655075
62	2.307482503
63	2.298022928
64	2.281949649
65	2.273180287
66	2.258571081
67	2.239178048
68	2.219991111
69	2.211683999
70	2.204564609
71	2.191620489
72	2.182172449
73	2.166166885
74	2.143525505
75	2.135132831
76	2.12406025
77	2.113525691
78	2.101209869
79	2.094735185
80	2.087005917
81	2.081153674
82	2.069167893
83	2.047192956
84	2.036644886
85	2.030160602
86	2.021456851
87	2.01249337
88	1.997022283
89	1.989046915
90	1.977607131
91	1.970762613
92	1.96430004
93	1.954661567
94	1.948101061
95	1.941966796
96	1.931319739
97	1.920334657
98	1.905566357
99	1.893568736
100	1.885335601
101	1.87230044
102	1.862622171
103	1.849741685
104	1.838529725
105	1.828959856
106	1.812961325
107	1.801609898
108	1.794809958
109	1.783447211
110	1.768665442
111	1.759916428
112	1.753608836
113	1.744541196
114	1.730086212
115	1.723968603
116	1.713842524
117	1.707116499
118	1.691803556
119	1.678408171
120	1.668835679
121	1.656672584
122	1.649157004
123	1.639877537
124	1.634052681
125	1.620244476
126	1.614543723
127	1.609112497
128	1.603371092
129	1.588361301
130	1.58333734
131	1.574096647
132	1.560659818
133	1.555109185
134	1.543811417
135	1.538148124
136	1.530638792
137	1.52533454
138	1.520087031
139	1.514970692
140	1.509865033
141	1.499277356
142	1.49131972
143	1.486209403
144	1.481914376
145	1.477697702
146	1.473572056
147	1.466566851
148	1.461923932
149	1.455977089
150	1.445819934
151	1.440670371
152	1.432122758
153	1.422626434
154	1.416713261
155	1.409446645
156	1.405683658
157	1.400935787
158	1.392920195
159	1.383982498
160	1.378563882
161	1.368185884
162	1.361822516
163	1.353253327
164	1.34592418
165	1.341758137
166	1.334106287
167	1.325267275
168	1.318735939
169	1.313105642
170	1.308227733
171	1.304002101
172	1.299343272
173	1.293793121
174	1.289747912
175	1.285587951
176	1.279229466
177	1.270987879
178	1.264990666
179	1.261564718
180	1.253555213
181	1.249648639
182	1.243306124
183	1.239186083
184	1.235264305
185	1.226999738
186	1.219165159
187	1.210815942
188	1.203198698
189	1.198659074
190	1.18954458
191	1.186094046
192	1.182764997
193	1.179406508
194	1.176093259
195	1.167936373
196	1.160358538
197	1.155136092
198	1.149422103
199	1.145720448
200	1.139542034
201	1.132913135
202	1.129512482
203	1.12570179
204	1.120954836
205	1.113228253
206	1.106895544
207	1.103268993
208	1.098438461
209	1.090217246
210	1.087175972
211	1.083803829
212	1.079052803
213	1.075508838
214	1.070140261
215	1.065884223
216	1.061080997
217	1.055572952
218	1.052544842
219	1.048028953
220	1.043222758
221	1.035918774
222	1.029893885
223	1.026644483
224	1.023461231
225	1.020919493
226	1.018389446
227	1.013640827
228	1.010513857
229	1.006202319
230	1.003056438
231	1.000325905
232	0.9958748826
233	0.9921528187
234	0.988805014
235	0.981294278
236	0.9776628705
237	0.9723593072
238	0.9660680038
239	0.9632630208
240	0.9589136101
241	0.9563746114
242	0.9505106875
243	0.9459370587
244	0.9435890094
245	0.9410810417
246	0.9366591689
247	0.9343636385
248	0.9317117878
249	0.9286912349
250	0.9237493633
251	0.9215117763
252	0.9189939426
253	0.9145946514
254	0.9098105357
255	0.907508259
256	0.9052833035
257	0.9005102554
258	0.8976758749
259	0.8953704993
260	0.891529366
261	0.8864621492
262	0.8842726859
263	0.8820564276
264	0.8783430857
265	0.8740943682
266	0.8717027767
267	0.8652570406
268	0.8608848305
269	0.8586898108
270	0.853328708
271	0.8495282612
272	0.8471273356
273	0.842878887
274	0.8391980105
275	0.836998872
276	0.8333671097
277	0.8305853184
278	0.8282558288
279	0.8221117673
280	0.8178379277
281	0.8157894762
282	0.8108420254
283	0.8080268546
284	0.8061049958
285	0.8037664071
286	0.8018487755
287	0.796871722
288	0.7949328267
289	0.7922278445
290	0.7903780281
291	0.7882688021
292	0.7860826086
293	0.7842874678
294	0.7803582409
295	0.7785938597
296	0.7751332404
297	0.7731684539
298	0.7711265669
299	0.7691481032
