iter	Passed	Remaining
0	28	28947
1	58	29146
2	89	29903
3	119	29863
4	150	29881
5	185	30728
6	221	31410
7	254	31549
8	285	31420
9	315	31273
10	346	31166
11	380	31359
12	411	31227
13	442	31198
14	473	31067
15	506	31177
16	540	31261
17	583	31855
18	619	32008
19	654	32049
20	690	32167
21	723	32175
22	753	31998
23	784	31884
24	815	31807
25	849	31819
26	878	31667
27	909	31582
28	940	31479
29	969	31341
30	998	31196
31	1030	31165
32	1063	31174
33	1094	31109
34	1128	31104
35	1159	31036
36	1190	30983
37	1220	30908
38	1252	30853
39	1283	30804
40	1313	30713
41	1343	30647
42	1375	30608
43	1405	30537
44	1435	30473
45	1467	30427
46	1499	30396
47	1530	30351
48	1562	30316
49	1595	30322
50	1627	30293
51	1658	30234
52	1688	30170
53	1722	30183
54	1754	30148
55	1783	30070
56	1814	30014
57	1845	29970
58	1878	29957
59	1910	29937
60	1942	29897
61	1974	29871
62	2003	29804
63	2033	29742
64	2070	29790
65	2104	29786
66	2133	29715
67	2165	29674
68	2195	29623
69	2224	29549
70	2253	29486
71	2282	29423
72	2311	29352
73	2340	29290
74	2371	29250
75	2403	29225
76	2434	29181
77	2463	29121
78	2493	29074
79	2525	29041
80	2554	28982
81	2584	28936
82	2614	28883
83	2645	28853
84	2676	28812
85	2706	28762
86	2737	28725
87	2768	28690
88	2799	28653
89	2829	28606
90	2858	28558
91	2889	28522
92	2921	28494
93	2951	28451
94	2981	28405
95	3011	28361
96	3044	28344
97	3077	28329
98	3110	28312
99	3143	28287
100	3175	28264
101	3207	28239
102	3238	28204
103	3270	28177
104	3305	28174
105	3335	28127
106	3365	28090
107	3396	28050
108	3427	28017
109	3458	27980
110	3488	27938
111	3521	27918
112	3551	27880
113	3581	27837
114	3611	27793
115	3641	27752
116	3671	27708
117	3701	27670
118	3733	27639
119	3764	27606
120	3794	27565
121	3825	27528
122	3855	27486
123	3885	27450
124	3916	27418
125	3951	27407
126	3983	27379
127	4014	27349
128	4048	27334
129	4084	27332
130	4118	27320
131	4152	27303
132	4184	27276
133	4216	27250
134	4247	27213
135	4277	27173
136	4308	27142
137	4338	27102
138	4369	27064
139	4399	27027
140	4431	26998
141	4461	26958
142	4490	26913
143	4522	26885
144	4554	26858
145	4585	26823
146	4615	26782
147	4645	26743
148	4674	26696
149	4705	26665
150	4735	26622
151	4765	26583
152	4797	26557
153	4829	26532
154	4862	26509
155	4894	26482
156	4925	26447
157	4957	26419
158	4989	26391
159	5022	26368
160	5057	26354
161	5090	26333
162	5126	26325
163	5161	26309
164	5192	26277
165	5222	26239
166	5252	26201
167	5282	26162
168	5312	26120
169	5341	26081
170	5373	26050
171	5403	26012
172	5434	25976
173	5464	25938
174	5493	25899
175	5526	25872
176	5558	25843
177	5589	25811
178	5619	25772
179	5648	25733
180	5679	25699
181	5711	25668
182	5741	25633
183	5772	25598
184	5802	25562
185	5831	25521
186	5862	25487
187	5894	25457
188	5925	25428
189	5958	25403
190	5987	25362
191	6018	25327
192	6049	25294
193	6083	25274
194	6116	25248
195	6148	25219
196	6178	25185
197	6209	25152
198	6240	25118
199	6269	25079
200	6300	25043
201	6330	25007
202	6360	24972
203	6391	24937
204	6427	24926
205	6456	24885
206	6487	24853
207	6519	24823
208	6548	24785
209	6579	24752
210	6609	24715
211	6639	24680
212	6670	24648
213	6701	24613
214	6732	24583
215	6763	24549
216	6795	24520
217	6826	24487
218	6858	24457
219	6889	24426
220	6920	24394
221	6952	24365
222	6985	24339
223	7016	24308
224	7049	24280
225	7084	24264
226	7117	24236
227	7149	24208
228	7179	24172
229	7210	24138
230	7240	24105
231	7270	24068
232	7300	24032
233	7330	23996
234	7360	23961
235	7392	23933
236	7422	23897
237	7452	23860
238	7482	23823
239	7513	23791
240	7541	23751
241	7572	23717
242	7602	23683
243	7634	23653
244	7664	23617
245	7693	23581
246	7725	23550
247	7757	23521
248	7786	23485
249	7819	23457
250	7850	23426
251	7881	23393
252	7912	23361
253	7943	23330
254	7975	23302
255	8009	23277
256	8043	23254
257	8076	23226
258	8110	23204
259	8144	23181
260	8174	23146
261	8205	23114
262	8235	23078
263	8265	23043
264	8295	23008
265	8326	22977
266	8358	22945
267	8388	22910
268	8418	22875
269	8447	22840
270	8478	22808
271	8508	22772
272	8539	22740
273	8570	22707
274	8600	22673
275	8633	22647
276	8666	22620
277	8697	22588
278	8730	22561
279	8764	22536
280	8796	22506
281	8827	22476
282	8861	22450
283	8893	22422
284	8927	22396
285	8958	22366
286	8992	22341
287	9023	22308
288	9056	22281
289	9089	22254
290	9122	22225
291	9151	22190
292	9181	22155
293	9210	22118
294	9240	22083
295	9270	22049
296	9300	22015
297	9332	21985
298	9362	21950
299	9392	21915
300	9422	21881
301	9452	21846
302	9483	21814
303	9514	21782
304	9545	21750
305	9580	21727
306	9613	21700
307	9645	21670
308	9676	21639
309	9708	21608
310	9737	21573
311	9768	21541
312	9801	21512
313	9831	21478
314	9862	21447
315	9893	21416
316	9923	21381
317	9955	21350
318	9986	21318
319	10018	21290
320	10050	21260
321	10085	21236
322	10120	21212
323	10157	21192
324	10190	21164
325	10223	21137
326	10255	21106
327	10286	21075
328	10317	21043
329	10350	21014
330	10382	20985
331	10415	20956
332	10448	20928
333	10483	20903
334	10516	20876
335	10548	20845
336	10580	20814
337	10612	20786
338	10645	20756
339	10677	20727
340	10708	20694
341	10740	20663
342	10770	20630
343	10801	20598
344	10832	20566
345	10865	20537
346	10898	20508
347	10930	20478
348	10963	20451
349	10996	20421
350	11030	20394
351	11060	20361
352	11093	20333
353	11124	20300
354	11158	20273
355	11189	20240
356	11221	20211
357	11254	20183
358	11289	20156
359	11320	20126
360	11355	20100
361	11388	20071
362	11419	20039
363	11450	20006
364	11482	19975
365	11513	19944
366	11544	19912
367	11576	19880
368	11607	19849
369	11639	19819
370	11672	19789
371	11707	19765
372	11738	19732
373	11771	19702
374	11804	19674
375	11837	19645
376	11869	19614
377	11901	19583
378	11933	19553
379	11967	19526
380	12002	19500
381	12036	19471
382	12066	19438
383	12097	19406
384	12127	19373
385	12158	19339
386	12188	19306
387	12219	19274
388	12255	19249
389	12288	19220
390	12320	19190
391	12353	19159
392	12387	19132
393	12420	19104
394	12454	19076
395	12487	19046
396	12520	19017
397	12553	18988
398	12586	18958
399	12619	18929
400	12651	18898
401	12684	18868
402	12715	18837
403	12754	18815
404	12791	18791
405	12823	18761
406	12854	18729
407	12886	18698
408	12918	18667
409	12951	18637
410	12985	18609
411	13017	18578
412	13050	18549
413	13083	18518
414	13113	18484
415	13143	18451
416	13174	18418
417	13204	18384
418	13235	18353
419	13270	18325
420	13306	18299
421	13340	18272
422	13375	18244
423	13407	18213
424	13438	18181
425	13469	18148
426	13499	18115
427	13531	18084
428	13562	18052
429	13595	18021
430	13625	17988
431	13657	17957
432	13688	17924
433	13719	17892
434	13751	17860
435	13783	17829
436	13814	17797
437	13846	17766
438	13876	17733
439	13907	17700
440	13938	17667
441	13970	17637
442	14003	17606
443	14036	17577
444	14066	17543
445	14096	17510
446	14127	17477
447	14158	17445
448	14187	17411
449	14217	17377
450	14247	17343
451	14278	17311
452	14309	17278
453	14340	17246
454	14371	17214
455	14402	17182
456	14433	17150
457	14464	17117
458	14497	17087
459	14529	17056
460	14560	17024
461	14597	16999
462	14631	16970
463	14664	16939
464	14694	16906
465	14725	16874
466	14757	16843
467	14788	16811
468	14818	16777
469	14849	16744
470	14879	16712
471	14912	16681
472	14947	16653
473	14981	16625
474	15012	16592
475	15044	16561
476	15077	16531
477	15109	16500
478	15141	16469
479	15172	16436
480	15202	16403
481	15233	16370
482	15263	16337
483	15296	16307
484	15328	16276
485	15359	16244
486	15391	16213
487	15426	16185
488	15457	16153
489	15491	16123
490	15522	16091
491	15554	16060
492	15586	16029
493	15618	15997
494	15648	15964
495	15679	15932
496	15710	15900
497	15742	15868
498	15774	15837
499	15805	15805
500	15841	15778
501	15876	15749
502	15907	15717
503	15939	15686
504	15973	15656
505	16005	15625
506	16035	15592
507	16065	15559
508	16095	15525
509	16126	15493
510	16157	15461
511	16188	15429
512	16219	15397
513	16250	15364
514	16280	15332
515	16310	15299
516	16340	15266
517	16372	15234
518	16405	15204
519	16437	15172
520	16470	15142
521	16503	15112
522	16534	15080
523	16566	15049
524	16597	15017
525	16628	14984
526	16660	14953
527	16692	14921
528	16722	14889
529	16753	14856
530	16785	14825
531	16815	14792
532	16846	14760
533	16879	14729
534	16912	14699
535	16948	14671
536	16981	14641
537	17015	14611
538	17048	14581
539	17082	14552
540	17116	14522
541	17150	14492
542	17183	14461
543	17217	14432
544	17251	14402
